"","keyword","salary"
"1","한의원,간호사,간호조무사,병원코디네이터,한의원","면접후 결정"
"2","정형외과,방사선사","면접후 결정"
"3","게임개발,게임기획·마케팅,게임마케팅,마케팅전략·기획,온라인마케팅,해외마케팅","면접후 결정"
"4","게임개발,게임기획·마케팅,게임마케팅,사업기획,전략기획,타당성분석,해외마케팅","면접후 결정"
"5","게임개발,게임기획·마케팅,DataAnalysis,Hadoop,게임개발","면접후 결정"
"6","게임개발,게임기획·마케팅,PM,게임개발","면접후 결정"
"7","게임개발,게임기획·마케팅,3D·모델링·모션,게임개발","면접후 결정"
"8","게임개발,게임기획·마케팅,게임개발,게임디자인","면접후 결정"
"9","기계,기계설비,6시그마,생산관리","8,000~9,000만원"
"10","게임개발,게임기획·마케팅,PM,게임개발","면접후 결정"
"11","게임개발,게임기획·마케팅,PM,게임개발","면접후 결정"
"12","게임개발,게임운영,UI·UX디자인","면접후 결정"
"13","게임개발,게임기획·마케팅,UI·UX디자인,게임개발,게임디자인","면접후 결정"
"14","게임개발,게임기획·마케팅,게임개발,서버·네트웍개발","면접후 결정"
"15","한방병원,병원코디네이터","2,400~2,600만원"
"16","게임개발,게임기획·마케팅,게임개발,서버·네트웍개발","면접후 결정"
"17","게임개발,게임운영,C·C++,게임개발","면접후 결정"
"18","게임개발,게임기획·마케팅,게임개발,클라이언트개발","면접후 결정"
"19","게임개발,게임기획·마케팅,게임개발,게임디자인","면접후 결정"
"20","게임개발,게임운영,UI·UX디자인,웹표준·웹접근성,자바스크립트","면접후 결정"
"21","NI·네트워크통합,SI·시스템통합,솔루션업체,시스템운영,정보통신","2,400~2,600만원"
"22","게임개발,게임운영,UI·UX디자인,웹표준·웹접근성,자바스크립트","면접후 결정"
"23","게임개발,게임기획·마케팅,게임개발","면접후 결정"
"24","게임개발,게임기획·마케팅,BM·브랜드매니저,게임마케팅,라이센싱,마케팅전략·기획,시장조사·분석","면접후 결정"
"25","공조냉동,냉난방설비,CAD,건축설계,공조냉동,기계설계,기계설비","면접후 결정"
"26","웹스튜디오,웹에이전시,웹프로덕션,QA·테스터","면접후 결정"
"27","게임개발,게임기획·마케팅,PM,게임개발","면접후 결정"
"28","건축,건설·교통연구,건축,건축CAD,환경,환경영향평가","회사내규에 따름"
"29","게임개발,게임기획·마케팅,Python,게임개발,머신러닝","면접후 결정"
