"","keyword","salary"
"1","치과,영업기획,영업지원,입소문·바이럴","회사내규에 따름"
"2","어학원,영어","1,400 만원 이하"
"3","디스플레이,반도체,SAP,재무회계","면접후 결정"
"4","골프장CC,수영장,스포츠,스포츠센터,휘트니스센터,골프·골프강사,안내데스크,청소·미화","회사내규에 따름"
"5","디스플레이,반도체,SAP,관리회계","면접후 결정"
"6","레저,스포츠,AS기사,레저,매장관리,서비스,스포츠","2,400~2,600만원"
"7","건강보조식품,바이오,의약·제약,결산·정산,회계","면접후 결정"
"8","반도체,기술영업(제조),디스플레이,반도체","면접후 결정"
"9","식품·푸드,음식료,케이터링,단체급식,영양사,지점관리","3,200~3,400만원"
"10","어학원,어학원강사","면접후 결정"
"11","반도체,기술영업(제조),반도체","면접후 결정"
"12","반도체,기술영업(제조),디스플레이,반도체","면접후 결정"
"13","식품가공,법인영업,식품·음료영업","면접후 결정"
"14","B2C,쇼핑몰,오픈마켓,전자상거래,매출분석·관리,시장조사·분석,영업관리,영업기획,영업지원","면접후 결정"
"15","어학원,기타외국어,일본어·JPT,중국어·HSK","면접후 결정"
"16","보습학원,수학,일반학원강사,전임강사","면접후 결정"
"17","소아과,병원코디네이터,원무행정,접수·수납·예약","면접후 결정"
"18","AS,유지보수,유지·보수·교체","2,000~2,200만원"
"19","화장품,해외영업,화장품,화장품·뷰티","면접후 결정"
"20","실내건축,인테리어,인테리어시공","면접후 결정"
"21","실내건축,인테리어,인테리어시공","면접후 결정"
"22","기타제조업,생산관리,워드·문서작성,인허가업무,자재관리,총무","3,400~3,600만원"
"23","음식료,매니져,바리스타·커피","회사내규에 따름"
"24","양식당,테이크아웃,한식당,서비스,양식,웨이터,웨이트리스,조리사,주방보조,카운터,홀서빙","2,400~2,600만원"
"25","로드샵,면세점,백화점,남성캐주얼·정장","2,400~2,600만원"
"26","테마파크,레포츠,자동차정비,정기·정밀검사,테마파크직원","2,200~2,400만원"
"27","남성의류,디스플레이,여성의류,의류·의상,패션,VMD,남성캐주얼·정장,매장관리,여성캐주얼·정장,의상디자이너,패션디자이너","회사내규에 따름"
"28","무역업,물류업,상사,수입유통,유통업,기획,마케팅전략·기획,사업기획,사이트운영,쇼핑몰·오픈마켓,시장조사·분석,신규사업·BD,온라인마케팅,입소문·바이럴,전략기획,카페·블로그관리,컨텐츠운영,컨텐츠제작,판촉","3,400~3,600만원"
"29","인터넷교육,AWS,C·C++,Java,MS-SQL,MySQL,게임개발,모바일게임,클라이언트개발","면접후 결정"
"30","세무회계사무소,세무,재무,재무회계,전산회계,회계","2,800~3,000만원"
"31","자동제어,전기공사,전기기술,전기설계,배선,전기,전기공사,전기기사,전기설계","면접후 결정"
"32","IT·통신기기판매,판매,매장관리,매장판매,인터넷·통신,일반영업,핸드폰영업,휴대폰·MP3","회사내규에 따름"
"33","철강,전산입력·편집","2,000~2,200만원"
"34","전문병원,간호조무사","2,600~2,800만원"
"35","의류·의상,의상디자이너,패션디자이너","회사내규에 따름"
"36","샤시·베란다,샤시·베란다,창호공사","4,000~5,000만원"
"37","유아원,유치원교사","면접후 결정"
"38","식품가공,제조·가공","1,400 만원 이하"
"39","정신병원,영양사","면접후 결정"
"40","제과제빵점,베이커리,요리사,제과·제빵사,조리사,파티쉐르","2,600~2,800만원"
"41","영어학원,영어회화","회사내규에 따름"
"42","무역업,물류업,상사,수입유통,유통업,거래선개발,거래처관리,기술영업(유통),기술영업(일반),납품영업,대리점·점포개발,법인영업,식품·음료영업,영업관리,영업기획,일반영업","3,400~3,600만원"
"43","음식료,베이커리","면접후 결정"
"44","샐러드바,바리스타·커피","2,200~2,400만원"
"45","공공기관,공사·공기업,연구·실험·기술,환경","면접후 결정"
"46","공공기관,공사·공기업,기업분석·심사,애널리스트,펀드매니저","면접후 결정"
"47","공공기관,공사·공기업,변호사","면접후 결정"
"48","공공기관,공사·공기업,의사","면접후 결정"
"49","여성의류,의류·의상,패션,ERP운용,경영지원,관리회계,전산회계,회계","면접후 결정"
"50","기계,기계설비,기술영업(일반),기술영업(제조),의료기기영업,장비영업","면접후 결정"
"51","뷰티,화장품,CRM,마케팅전략·기획,시장조사·분석","면접후 결정"
"52","생명보험,보험계리사,보험심사","면접후 결정"
"53","석유화학,화공,화학,CPA·AICPA,SAP,관리회계,재무,재무회계","면접후 결정"
"54","소프트웨어개발,솔루션업체,HW·SW 영업,기술영업(일반),기술영업(제조),솔루션영업","면접후 결정"
"55","생활용품,소비재,마케팅전략·기획,시장조사·분석,온라인마케팅","면접후 결정"
"56","생활용품,소비재,BM·브랜드매니저,마케팅전략·기획,시장조사·분석,온라인마케팅,프로모션","면접후 결정"
"57","생명보험,기업분석·심사,부동산투자,선물·옵션,주식투자,투자상담","면접후 결정"
"58","석유화학,화공,화학,외환·nego,자금운용·조달,재무,재무회계","면접후 결정"
"59","피부과,간호조무사,병원코디네이터,피부관리·에스테틱","회사내규에 따름"
"60","생명보험,대출심사,채권·추심","면접후 결정"
"61","뷰티,화장품,BM·브랜드매니저,마케팅전략·기획,생명공학,시장조사·분석,화학·섬유","면접후 결정"
"62","뷰티,화장품,매출분석·관리,영업관리,지점관리,판매관리,화장품영업","면접후 결정"
"63","논술학원,보습학원,입시학원,경리,교육상담·안내,사무보조,수강생관리,전화응대","면접후 결정"
"64","뷰티,화장품,BM·브랜드매니저,CRM,마케팅전략·기획,시장조사·분석,프로모션","면접후 결정"
"65","생명보험,사무","면접후 결정"
"66","생명보험,보험계리사","면접후 결정"
"67","생명보험,CPA·AICPA,SAP,재무,재무회계,통계·데이터","면접후 결정"
"68","생명보험,CPA·AICPA,SAP,재무,재무회계,통계·데이터","면접후 결정"
"69","생명보험,CPA·AICPA,SAP,재무,재무회계,통계·데이터","면접후 결정"
"70","생명보험,CPA·AICPA,SAP,재무,재무회계,통계·데이터","면접후 결정"
"71","소비재,BM·브랜드매니저,마케팅전략·기획,스포츠마케팅,시장조사·분석,프로모션","면접후 결정"
"72","호텔,리셉션·예약접수,프론트,호텔","2,400~2,600만원"
"73","석유화학,화공,화학,CPA·AICPA,SAP,관리회계,재무,재무회계","면접후 결정"
"74","생명보험,인사,직무분석,채용·면접","면접후 결정"
"75","AS,유지보수,하드웨어,AS기사,설치·수리","2,200~2,400만원"
"76","생활용품,소비재,교육·인재개발","면접후 결정"
"77","음식료,바리스타·커피","1,400 만원 이하"
"78","신용카드사,마케팅전략·기획,시장조사·분석,업무제휴,프로모션","면접후 결정"
"79","DataMining,소프트웨어개발,솔루션업체,공정관리,생산관리","면접후 결정"
"80","뷰티,화장품,CS,고객상담,고객응대,고객지원","면접후 결정"
"81","DataMining,소프트웨어개발,솔루션업체,기술영업(유통),기술영업(일반),장비영업","면접후 결정"
"82","바이오,의약·제약,약사","면접후 결정"
"83","바이오,의약·제약,SAS,리서치,통계","면접후 결정"
"84","바이오,의약·제약,CRA,약사","면접후 결정"
"85","바이오,의약·제약,DataAnalysis,Hadoop,Python,R,빅데이터","면접후 결정"
"86","다이어트,마사지,피부관리,다이어트·비만관리,마사지,미용·뷰티,미용기타,피부관리·에스테틱","3,000~3,200만원"
"87","DataMining,소프트웨어개발,솔루션업체,Java,Java·JSP,Oracle,자바스크립트","회사내규에 따름"
"88","입시학원,수강생관리","2,200~2,400만원"
"89","한의원,병원코디네이터,한의원","2,400~2,600만원"
"90","기타제조업,컨설턴트","면접후 결정"
"91","서치펌,아웃소싱,헤드헌팅,결산·정산,내부감사·통제,세무,자금운용·조달,재무,재무회계","회사내규에 따름"
"92","전기,전자,자동제어,전기,전기·전자회로,전자","면접후 결정"
"93","한의원,간호조무사,한의원","2,200~2,400만원"
"94","전기,전자,전기,전자","면접후 결정"
"95","ERP,SI·시스템통합,MES","면접후 결정"
"96","Hardware,전기,전자,SW(소프트웨어),유지보수(AS)","면접후 결정"
"97","패션,교육·인재개발","면접후 결정"
"98","리모델링,실내건축,인테리어,일반영업","3,800~4,000만원"
"99","패션,마케팅전략·기획,시장조사·분석,온라인마케팅,입소문·바이럴","면접후 결정"
"100","보습학원,수학,일반학원강사","면접후 결정"
"101","뷰티,화장품,마케팅전략·기획,시장조사·분석,온라인마케팅,프로모션","면접후 결정"
"102","호텔,프론트,호텔","면접후 결정"
"103","보험사,생명보험,보험계리사,보험심사","면접후 결정"
"104","서치펌,헤드헌팅,경력관리,스카우트,인재서치,인재컨설팅,헤드헌터","면접후 결정"
"105","서치펌,헤드헌팅,경력관리,스카우트,인재서치,인재컨설팅,헤드헌터","면접후 결정"
"106","자동차,CAD,HW(하드웨어),SW(소프트웨어),자동차·조선설계","회사내규에 따름"
"107","ERP,SI·시스템통합,SM,소프트웨어개발,C#,MES","면접후 결정"
"108","기계,기계조립,용접","면접후 결정"
"109","사단법인,사보·웹진,포토샵","면접후 결정"
"110","여행사,가맹점영업,일반영업","면접후 결정"
