"","keyword","salary"
"1","관광,여행사,사무,전화응대,포토샵","2,000~2,200만원"
"2","창고·보관,물류,물류센터,상품입출고","회사내규에 따름"
"3","기타제조업,제조업 회사본사,CNC·NCT","면접후 결정"
"4","쇼핑몰,오픈마켓,전자상거래,포토샵","면접후 결정"
"5","배송·택배,운송·운수,육상운송,배송·운송","3,400~3,600만원"
"6","부동산개발,문서관리,비품관리,사무,총무","2,400~2,600만원"
"7","음식료,요리사,조리사,주방보조","회사내규에 따름"
"8","SI·시스템통합,소프트웨어개발,솔루션업체,Android앱개발,ASP,IOS앱개발,Java,Java·JSP,PHP,PM,UI기획,모바일기획,백엔드,스토리보드,웹서비스기획,프론트엔드","회사내규에 따름"
"9","피부과,의료기타직,피부관리·에스테틱","면접후 결정"
"10","입시학원,교육상담·안내","면접후 결정"
"11","피부과,미용·뷰티,미용기타,피부관리·에스테틱","면접후 결정"
"12","보습학원,일반학원강사","회사내규에 따름"
"13","보안·경비업체,경리","1,800~2,000만원"
"14","화장품,기장·장부정리,부가세신고,회계","면접후 결정"
"15","배송·택배,창고·보관,배송·운송,재고관리,창고관리","면접후 결정"
"16","운송·운수,육상운송,항공운송,기타운송,배송·운송,항공운송","회사내규에 따름"
"17","대학교,교직원","회사내규에 따름"
"18","음식료,제과제빵점,네일아트,마사지,미용·뷰티,바리스타·커피,베이커리,헤어디자이너","면접후 결정"
"19","중식당,중식,홀서빙","230"
"20","요양병원,보험심사·청구","3,200~3,400만원"
"21","법무법인,사무,송무","회사내규에 따름"
"22","인터넷교육,전산직","2,200~2,400만원"
"23","CAD·CAM,기계,기계설계,기계설비,자동차부품,Windows,네트워크관리,문서관리,방화벽,비품관리,사무,서버관리,세무,시스템운영,예산관리,자산관리,재무,재무회계,총무,회계","면접후 결정"
"24","어학원,영어학원,어학원강사,영어,입시학원강사,전임강사","면접후 결정"
"25","양식당,이태리요리,퓨전푸드,홀서빙","2,200~2,400만원"
"26","이벤트·공연,고객관리,매장관리,안내·프런트,일반영업","면접후 결정"
"27","사진·촬영,사진촬영기사,촬영,촬영기자","면접후 결정"
"28","창고·보관,지게차","2,800~3,000만원"
"29","자동차,3D설계,CAD,catia,자동차·조선설계","회사내규에 따름"
"30","노인복지,복지시설,요양보호,작업치료사","면접후 결정"
"31","보습학원,수학,전임강사","면접후 결정"
"32","반도체,HRD·HRM,경영기획,노무·노사관리,자산관리,조직관리,총무","면접후 결정"
"33","호텔,기획,기획조사,사업기획,전략기획,타당성분석","5,000~6,000만원"
"34","국제회의,전시기획,컨벤션,HTML,HTML코딩,드림위버","2,800~3,000만원"
"35","노인복지,복지시설,요양보호,물리치료사","면접후 결정"
"36","게임개발,백엔드","면접후 결정"
"37","자동차,자동차부품,기계·자동차,기획,자동차·조선설계","면접후 결정"
"38","치과,간호조무사,치과위생사,치과조무사","면접후 결정"
"39","관광,매장관리,매장판매,사무보조,예약·발권","회사내규에 따름"
"40","소프트웨어개발,Java,Java·JSP,백엔드,프론트엔드","면접후 결정"
"41","프라스틱제조,공정관리","면접후 결정"
"42","플랜트,가상현실(VR),증강현실(AR)","면접후 결정"
"43","양식당,양식,요리사,조리사","205"
"44","자동차,3D설계,CAD,catia,자동차·조선설계","회사내규에 따름"
"45","노인병원,요양병원,간호사,병동간호사,환자처치·응대","3,400~3,600만원"
"46","치과,간호조무사,치과위생사","면접후 결정"
"47","휘트니스센터,헬스","165"
"48","IT학원,3D,CG,Maya,건축,건축CAD,그래픽디자인,디렉터,레이아웃·구성,삽화·일러스트,서체·폰트,실내건축,실내디자인,인테리어설계,카탈로그편집,편집디자인","면접후 결정"
"49","소프트웨어개발,IOS앱개발","면접후 결정"
"50","호텔,결산·정산,경리,부가세신고,세무,재무,호텔","회사내규에 따름"
"51","자동차,생산관리,자동차·조선설계","회사내규에 따름"
"52","노인병원,요양병원,간호사,병동간호사,환자처치·응대","3,400~3,600만원"
"53","호텔,양식,일식,조리사,한식,호텔","회사내규에 따름"
"54","호텔,GRO,프론트,호텔","회사내규에 따름"
"55","병원·진료,한의원,병원코디네이터,접수·수납·예약,한의원","2,200~2,400만원"
"56","대형마트,물류","2,200~2,400만원"
"57","병원·진료,한의원,간호사,간호조무사,한의원","2,200~2,400만원"
"58","호텔,매니져,서비스,웨이터,웨이트리스,지배인,호텔","회사내규에 따름"
"59","약국,마케팅전략·기획,매장관리,약무보조","2,400~2,600만원"
"60","호텔,서비스,웨이터,호텔,홀서빙","회사내규에 따름"
"61","게임개발,DBA,DW,MySQL,NoSQL,튜닝","4,000~5,000만원"
"62","호텔,리셉션·예약접수,서비스,안내데스크,카운터·캐셔,호텔","회사내규에 따름"
"63","박물관·미술관,안내데스크,워드·문서작성,큐레이터","면접후 결정"
"64","소프트웨어개발,솔루션업체,UI·UX디자인,모바일UI,일러스트레이터,포토샵","면접후 결정"
"65","게임개발,Sketch,UI·UX디자인,모바일UI,웹UI","면접후 결정"
"66","광고기획사,광고대행사,홍보대행사,광고,광고AE·기획,광고PD·제작,광고기획,마케팅전략·기획,미디어플래닝,온라인마케팅,카피라이터","면접후 결정"
"67","요양병원,보험심사·청구","3,200~3,400만원"
"68","어학원,예체능학원,입시학원,수강생관리,전문직업강사,조종사·승무원,학원운영","회사내규에 따름"
"69","골프장CC,리셉션·예약접수","회사내규에 따름"
"70","게임개발,DBA","4,000~5,000만원"
"71","로드샵,일반영업","면접후 결정"
"72","기계설계,전동공구","5,000~6,000만원"
"73","기계설계,기계·기구설계","4,000~5,000만원"
"74","한의원,간호조무사,병원코디네이터","회사내규에 따름"
"75","건강보조식품,바이오,주식IR·공시","면접후 결정"
"76","자동차,CAD,catia,HW(하드웨어),SW(소프트웨어),자동차·조선설계","회사내규에 따름"
"77","화장품,매출분석·관리,시장조사·분석,영업관리,영업기획,영업지원,화장품","면접후 결정"
"78","식품가공,바이어개발,바이어상담,바이오,중국어,해외영업","면접후 결정"
"79","휘트니스센터,스포츠,안내데스크,프론트","회사내규에 따름"
"80","바이오,생명공학,주식IR·공시,회계","4,000~5,000만원"
"81","저축은행,자산관리,채권관리","면접후 결정"
"82","자동차,자동차부품,HW(하드웨어),SW(소프트웨어),사업기획,서비스기획,전략기획","면접후 결정"
"83","인터넷교육,PM,게임기획,로그분석,머신러닝,빅데이터,사물인터넷(IoT),인공지능(AI),정보설계·IA,클라우드","면접후 결정"
"84","헤어샵,헤어디자이너","회사내규에 따름"
"85","자동차,자동차부품,기술직","면접후 결정"
"86","어학원,영어학원,교육상담·안내,사무보조,수강생관리,영어,영어회화,원생관리·유치,프로그램상담,학원운영","면접후 결정"
"87","내과,간호조무사","면접후 결정"
"88","바이오,생명공학,Firmware,설계엔지니어","4,000~5,000만원"
"89","소프트웨어개발,C·C++,Linux,SW(소프트웨어),머신러닝","회사내규에 따름"
"90","출판사,리포터,방송·구성작가,인터넷기자","면접후 결정"
"91","석유화학,정유,세무,인수·합병,재무,전략기획","7,000~8,000만원"
"92","공사·공기업,AD·조연출,FD·연출보조,동영상촬영,멀티미디어,방송기술·TD,방송제작,방송카메라,조명,촬영,코덱·인코딩,프리미어","2,400~2,600만원"
"93","B2C,쇼핑몰,오픈마켓,전자상거래,UI·UX디자인,모바일UI,웹UI,일러스트레이터,포토샵","면접후 결정"
"94","식품가공,법인영업,식품·음료영업","면접후 결정"
"95","바이오,의약·제약,기업홍보,홍보,홍보기획","면접후 결정"
"96","쇼핑몰,사내방송","1,600~1,800만원"
"97","화장품,Java,MS-SQL,백엔드,프론트엔드","면접후 결정"
"98","면세점,의류·구두·신발","2,200~2,400만원"
"99","공중파방송,미디어,인터넷방송,케이블방송,AD·조연출,FD·연출보조,동영상촬영,멀티미디어,방송시스템,방송제작,방송카메라,조명,촬영,코덱·인코딩,프리미어","3,000~3,200만원"
"100","식품·푸드,양식당,음식료,제과제빵점,테이크아웃,베이커리,서비스,양식,요리사,제과·제빵사,조리사,캐셔","면접후 결정"
"101","광고디자인,디자인회사,시각디자인,DM광고,광고디자인,시각디자인,크리에이티브디렉터","회사내규에 따름"
"102","식품가공,바이어개발,바이어상담,바이오,일본어,해외영업","면접후 결정"
"103","실내건축,인테리어,경영기획,영업관리,영업기획,영업지원","9,000~1억원"
"104","CRM,IT컨설팅,OP,여행사,콜센터관리,콜센터매니저,콜통계·분석","면접후 결정"
"105","건강보조식품,생명공학,의약·제약,HRD·HRM,성과관리,인사기획,인사평가","면접후 결정"
"106","SI·시스템통합,소프트웨어개발,시스템관리,C#,MS-SQL,VisualC·C++","회사내규에 따름"
"107","건강보조식품,바이오,의약·제약,QA ·QC,미생물,바이오,품질보증,효소","면접후 결정"
"108","건강보조식품,바이오,의약·제약,미생물,바이오,식품가공·개발,연구·실험·기술,효소","면접후 결정"
"109","양식당,이태리요리,패밀리레스토랑,퓨전푸드,피자·스파게티,chef,양식,요리사,조리사","2,400~2,600만원"
"110","식품·푸드,양식당,음식료,이태리요리,프랜차이즈,서비스,캡틴,홀서빙","회사내규에 따름"
